sample,node,distance,label,distance_raw
3372,node3,0.13353749732925,1,39.76
3373,node3,0.1106758777864824,1,33.34
3374,node3,0.2427533651449327,1,70.43
3375,node3,0.2316786553664268,1,67.32
3376,node3,0.2069297058614058,1,60.37
3377,node3,0.1247062175058756,1,37.28
3378,node3,0.126771597464568,1,37.86
3379,node3,0.1130261377394772,1,34.0
3380,node3,0.129264297414714,1,38.56
3381,node3,0.1756285164874296,1,51.58
3382,node3,0.2126273057474539,1,61.97
3383,node3,0.127127697457446,1,37.96
3384,node3,0.1187237376255252,1,35.6
3385,node3,0.0641692187166156,1,20.28
3386,node3,0.2340289153194217,1,67.98
3387,node3,0.1656933266861334,1,48.79
3388,node3,0.2681076846378463,0,77.55
3389,node3,0.160423046791539,1,47.31
3390,node3,0.15490349690193,1,45.76
3391,node3,0.1748807065023858,1,51.37
3392,node3,0.2055765258884695,1,59.99
3393,node3,0.1920447261591054,1,56.19
3394,node3,0.1817178263656435,1,53.29
3395,node3,0.1897300762053984,1,55.54
3396,node3,0.1995940460081191,1,58.31
3397,node3,0.0024214799515704,0,2.94
3398,node3,0.183747596325048,1,53.86
3399,node3,0.1606723167865537,1,47.38
3400,node3,0.1583220568335588,1,46.72
3401,node3,0.1738124065237518,1,51.07
3402,node3,0.1617050067658998,1,47.67
3403,node3,0.145466847090663,1,43.11
3404,node3,0.1472829570543408,1,43.62
3405,node3,0.1378463072430738,1,40.97
3406,node3,0.1323267573534648,1,39.42
3407,node3,0.1284096574318068,1,38.32
3408,node3,0.1402677871946442,1,41.65
3409,node3,0.1289438074211238,1,38.47
3410,node3,0.1487429670251406,1,44.03
3411,node3,0.1469268570614628,1,43.52
3412,node3,0.1516629869667402,1,44.85
3413,node3,0.1684709066305818,1,49.57
3414,node3,0.2497685350046293,1,72.4
3415,node3,0.227547895449042,1,66.16
3416,node3,0.2434299551314009,1,70.62
3417,node3,0.1667260166654796,1,49.08
3418,node3,0.1875934762481304,1,54.94
3419,node3,0.2117014457659711,1,61.71
3420,node3,0.1747026565059468,1,51.32
3421,node3,0.1401609571967808,1,41.62
3422,node3,0.1316145573677088,1,39.22
3423,node3,0.2341001353179972,1,68.0
3424,node3,0.1316857773662844,1,39.24
3425,node3,0.148849797023004,1,44.06
3426,node3,0.2222420055551599,1,64.67
3427,node3,0.2134107257317855,1,62.19
3428,node3,0.1936115661277687,1,56.63
3429,node3,0.1052631578947368,1,31.82
3430,node3,0.1147710277045794,1,34.49
3431,node3,0.144576597108468,1,42.86
3432,node3,0.1524820169503596,1,45.08
3433,node3,0.174845096503098,1,51.36
3434,node3,0.1772665764546684,1,52.04
3435,node3,0.1834271063314579,1,53.77
3436,node3,0.178940246421195,1,52.51
3437,node3,0.1827505163449896,1,53.58
3438,node3,0.2285449754291004,1,66.44
3439,node3,0.2168292856634143,1,63.15
3440,node3,0.1903354461932911,1,55.71
3441,node3,0.1915461861690763,1,56.05
3442,node3,0.2035467559290649,1,59.42
3443,node3,0.2218146855637063,1,64.55
3444,node3,0.136208247275835,1,40.51
3445,node3,0.1372409372551812,1,40.8
3446,node3,0.1452175770956484,1,43.04
3447,node3,0.0164874296702514,0,6.89
3448,node3,0.0245352895092942,0,9.15
3449,node3,0.03382949932341,0,11.76
3450,node3,0.0192650096146998,0,7.67
3451,node3,0.0157396196852076,0,6.68
3452,node3,0.015490349690193,0,6.61
3453,node3,0.0253543194929136,0,9.38
3454,node3,0.0189445196211096,0,7.58
3455,node3,0.1279111174417776,1,38.18
3456,node3,0.0227191795456164,0,8.64
3457,node3,0.0294138594117228,0,10.52
3458,node3,0.0317285093654298,0,11.17
