sample,node,distance,label
656,node1,9.42,0
657,node1,30.17,1
658,node1,17.14,1
659,node1,29.38,1
660,node1,37.4,1
661,node1,34.92,1
662,node1,29.92,1
663,node1,37.4,1
664,node1,29.41,1
665,node1,17.14,1
666,node1,41.62,0
667,node1,29.65,1
668,node1,16.81,1
669,node1,36.47,1
670,node1,39.53,1
671,node1,11.42,0
672,node1,13.12,0
673,node1,24.09,1
674,node1,30.45,1
675,node1,22.92,1
676,node1,27.34,1
677,node1,28.82,1
678,node1,23.82,1
679,node1,22.3,1
680,node1,22.93,1
681,node1,20.37,1
682,node1,20.04,1
683,node1,18.75,1
684,node1,19.07,1
685,node1,22.93,1
686,node1,19.72,1
687,node1,20.37,1
688,node1,18.43,1
689,node1,20.37,1
690,node1,19.4,1
691,node1,22.0,1
692,node1,22.92,1
693,node1,24.99,1
694,node1,25.28,1
695,node1,19.72,1
696,node1,22.0,1
697,node1,20.71,1
698,node1,22.3,1
699,node1,7.11,0
700,node1,18.41,1
701,node1,18.1,1
702,node1,22.0,1
703,node1,17.12,1
704,node1,21.01,1
705,node1,23.22,1
706,node1,19.72,1
707,node1,24.99,1
708,node1,25.87,1
709,node1,2.31,0
710,node1,4.86,0
711,node1,27.34,1
712,node1,24.4,1
713,node1,20.71,1
714,node1,26.16,1
715,node1,19.4,1
716,node1,18.75,1
717,node1,29.65,1
718,node1,29.92,1
719,node1,30.17,1
720,node1,22.92,1
721,node1,23.22,1
722,node1,19.72,1
723,node1,23.53,1
724,node1,22.32,1
725,node1,23.22,1
726,node1,10.44,0
727,node1,38.11,1
728,node1,30.45,1
729,node1,43.44,0
730,node1,23.22,1
731,node1,17.78,1
732,node1,23.22,1
733,node1,22.3,1
734,node1,18.43,1
735,node1,23.22,1
736,node1,18.43,1
737,node1,25.57,1
738,node1,21.01,1
739,node1,89.13,0
740,node1,87.14,0
741,node1,19.4,1
742,node1,27.93,1
743,node1,19.4,1
744,node1,16.81,1
745,node1,20.04,1
746,node1,17.12,1
747,node1,16.49,1
748,node1,15.83,1
749,node1,15.49,1
750,node1,26.45,1
751,node1,23.51,1
752,node1,23.22,1
753,node1,21.98,1
754,node1,22.63,1
755,node1,18.1,1
756,node1,9.08,0
757,node1,21.35,1
758,node1,18.43,1
759,node1,20.69,1
760,node1,22.3,1
761,node1,14.45,0
762,node1,23.49,1
763,node1,23.78,1
764,node1,24.96,1
765,node1,21.98,1
766,node1,17.12,1
767,node1,19.06,1
768,node1,26.16,1
769,node1,24.97,1
770,node1,22.61,1
771,node1,36.47,1
772,node1,21.01,1
773,node1,27.03,1
774,node1,23.2,1
775,node1,24.68,1
