sample,node,distance,label,distance_raw
201,node1,0.06692095300446899,1,25.82
202,node1,0.06865731120662663,1,26.43
203,node1,0.058666135322080225,1,22.92
204,node1,0.07195923827958214,1,27.59
205,node1,0.07927471463949219,1,30.16
206,node1,0.06865731120662663,1,26.43
207,node1,0.07030827474310439,1,27.01
208,node1,0.06532691924511116,1,25.26
209,node1,0.07113375651134327,1,27.3
210,node1,0.07030827474310439,1,27.01
211,node1,0.05043978252825141,1,20.03
212,node1,0.06615240101335004,1,25.55
213,node1,0.07776607554581424,1,29.63
214,node1,0.06282200905183456,1,24.38
215,node1,0.06447297258831232,1,24.96
216,node1,0.06111411573823689,1,23.78
217,node1,0.05043978252825141,1,20.03
218,node1,0.05687284734280265,1,22.29
219,node1,0.05860920554496029,1,22.9
220,node1,0.06450143747687227,1,24.97
221,node1,0.061996527283595684,1,24.09
222,node1,0.07776607554581424,1,29.63
223,node1,0.06447297258831232,1,24.96
224,node1,0.0678602943269477,1,26.15
225,node1,0.05226153539608893,1,20.67
226,node1,0.06780336454982779,1,26.13
227,node1,0.07119068628846319,1,27.32
228,node1,0.07366713159317982,1,28.19
229,node1,0.07030827474310439,1,27.01
230,node1,0.06948279297486551,1,26.72
231,node1,0.06111411573823689,1,23.78
232,node1,0.05690131223136262,1,22.3
233,node1,0.06447297258831232,1,24.96
234,node1,0.06865731120662663,1,26.43
235,node1,0.061996527283595684,1,24.09
236,node1,0.05778372377672142,1,22.61
237,node1,0.0728701147135009,1,27.91
238,node1,0.05778372377672142,1,22.61
239,node1,0.05946315220175913,1,23.2
240,node1,0.05411175315248641,1,21.32
241,node1,0.08075488884461017,1,30.68
242,node1,0.048589564771853916,1,19.38
243,node1,0.05043978252825141,1,20.03
244,node1,0.05593350602032394,1,21.96
245,node1,0.059434687313199175,1,23.19
246,node1,0.06364749082007344,1,24.67
247,node1,0.058666135322080225,1,22.92
248,node1,0.06117104551535681,1,23.8
249,node1,0.06282200905183456,1,24.38
250,node1,0.06117104551535681,1,23.8
251,node1,0.058666135322080225,1,22.92
252,node1,0.07927471463949219,1,30.16
253,node1,0.09717912954370783,1,36.45
254,node1,0.043978252825140195,1,17.76
255,node1,0.04491759414761891,1,18.09
256,node1,0.04030628220090518,1,16.47
257,node1,0.043978252825140195,1,17.76
258,node1,0.04209957018018275,1,17.1
259,node1,0.04124562352338391,1,16.8
260,node1,0.04491759414761891,1,18.09
261,node1,0.04215649995730267,1,17.12
262,node1,0.04215649995730267,1,17.12
263,node1,0.05507955936352509,1,21.66
264,node1,0.04491759414761891,1,18.09
265,node1,0.05320087671856765,1,21.0
266,node1,0.04306737639122143,1,17.44
267,node1,0.04306737639122143,1,17.44
268,node1,0.04673934701545644,1,18.73
269,node1,0.046710882126896475,1,18.72
270,node1,0.04306737639122143,1,17.44
271,node1,0.03933847598986649,1,16.13
272,node1,0.04027781731234522,1,16.46
273,node1,0.06615240101335004,1,25.55
274,node1,0.04209957018018275,1,17.1
275,node1,0.04124562352338391,1,16.8
276,node1,0.05320087671856765,1,21.0
277,node1,0.045828470581537675,1,18.41
278,node1,0.045828470581537675,1,18.41
279,node1,0.04950044120577268,1,19.7
280,node1,0.06026016908143805,1,23.48
281,node1,0.01366314650878142,0,7.11
282,node1,0.05129372918505024,1,20.33
283,node1,0.05043978252825141,1,20.03
284,node1,0.045828470581537675,1,18.41
285,node1,0.05411175315248641,1,21.32
286,node1,0.07850616264837323,1,29.89
287,node1,0.05778372377672142,1,22.61
288,node1,0.05226153539608893,1,20.67
289,node1,0.05411175315248641,1,21.32
290,node1,0.06862884631806668,1,26.42
291,node1,0.07850616264837323,1,29.89
292,node1,0.09780535709202698,1,36.67
293,node1,0.07998633685349123,1,30.41
294,node1,0.07776607554581424,1,29.63
295,node1,0.04950044120577268,1,19.7
296,node1,0.04950044120577268,1,19.7
297,node1,0.05687284734280265,1,22.29
298,node1,0.06111411573823689,1,23.78
